7.623695146015165847e-01 9.764609017318638395e-01 1.190552288862211094e+00 3.960500000000000398e+01 2.314000000000000501e+00
1.190552288862211094e+00 1.404643675992558238e+00 1.566759427474463617e+00 3.889620000000000033e+01 2.293200000000000127e+00
1.566759427474463617e+00 1.728875178956368996e+00 1.879017283077667244e+00 3.612500000000000000e+01 2.040000000000000036e+00
1.879017283077667244e+00 2.029159387198965270e+00 2.168314437477136813e+00 3.646579999999999444e+01 2.049599999999999866e+00
2.168314437477136813e+00 2.307469487755307913e+00 2.463082835258611603e+00 3.248180000000000689e+01 1.934400000000000119e+00
2.463082835258611603e+00 2.618696182761915736e+00 2.780274039711302159e+00 3.057620000000000360e+01 1.720400000000000151e+00
2.780274039711302159e+00 2.941851896660688581e+00 3.101008191504849965e+00 3.120500000000000185e+01 1.737999999999999989e+00
3.101008191504849965e+00 3.260164486349011348e+00 3.434164716592259303e+00 2.767680000000000362e+01 1.636800000000000033e+00
3.434164716592259303e+00 3.608164946835506814e+00 3.806426705703634283e+00 2.620880000000000010e+01 1.592799999999999994e+00
3.806426705703634283e+00 4.004688464571761308e+00 4.221964908539406203e+00 2.325620000000000331e+01 1.364000000000000323e+00
4.221964908539406203e+00 4.439241352507051097e+00 4.690600683063275156e+00 2.217780000000000129e+01 1.332000000000000073e+00
4.690600683063275156e+00 4.941960013619500103e+00 5.263996475735978287e+00 1.860499999999999687e+01 1.097999999999999865e+00
5.263996475735978287e+00 5.586032937852456470e+00 6.012246850187628056e+00 1.897279999999999944e+01 1.108800000000000008e+00
6.012246850187628056e+00 6.438460762522798753e+00 6.984818436234053962e+00 1.635919999999999774e+01 1.029599999999999849e+00
6.984818436234053962e+00 7.531176109945310060e+00 8.077533783656566158e+00 1.590479999999999805e+01 1.015199999999999880e+00
