2.428752526042402771e+00 2.727387902736347680e+00 3.026023279430292590e+00 6.672725456839142453e+02 2.316240378294567677e+02
3.024905544577997318e+00 3.324658656124237055e+00 3.624411767670476792e+00 4.704371803414872488e+02 1.588480946680067802e+02
3.623075815092412277e+00 3.924164879216716084e+00 4.225253943341019891e+00 3.427440042950113366e+02 1.200743482457620956e+02
4.226696834512279288e+00 4.526343007465324142e+00 4.825989180418368996e+00 2.512252159719978977e+02 8.640594014798941203e+01
4.826134344368716356e+00 5.125635353371413849e+00 5.425136362374111343e+00 1.823498908418814892e+02 6.157237126139929018e+01
5.419443851301384285e+00 5.724637371376807948e+00 6.029830891452231612e+00 1.348781943571816839e+02 4.681899801547580608e+01
6.037413809881824633e+00 6.335024411527656163e+00 6.632635013173487692e+00 1.015788593695062616e+02 3.624797115000890813e+01
6.630767039898357140e+00 6.930245614819318334e+00 7.229724189740279527e+00 7.595081402977862695e+01 2.944508447612615143e+01
7.231996144338364019e+00 7.529202764661241609e+00 7.826409384984119200e+00 5.953787707202307899e+01 2.066682284535097835e+01
7.823080915573142669e+00 8.123616005306997678e+00 8.424151095040851800e+00 4.549058455034979431e+01 1.638331906457222331e+01
8.423440169484127438e+00 8.724686184774707698e+00 9.025932200065287958e+00 3.487658958056587721e+01 1.233145670246519465e+01
8.865446636354359811e+00 9.327178215355866442e+00 9.788909794357373073e+00 2.727613533050883632e+01 1.057458197451557780e+01
9.651665260013512437e+00 1.025064137335887793e+01 1.084961748670424342e+01 1.897814730382495441e+01 6.648660924371466052e+00
1.083822925106057156e+01 1.144859360004960713e+01 1.205895794903864271e+01 1.231415457462250984e+01 6.837305300235011707e+00
1.207411924130111913e+01 1.266932229802768006e+01 1.326452535475424099e+01 7.510805623002004161e+00 3.405390298356059553e+00
1.326452535475424099e+01 1.385972841148080370e+01 1.445493146820736641e+01 4.825936159671821102e+00 3.105002428605105447e+00
