2.340474268285838155e-01 4.223527178415092953e-01 6.106580088544347751e-01 2.323240000000000194e+01 2.506400000000000183e+00
6.106580088544347751e-01 7.989632998673602549e-01 9.290146028348711393e-01 2.275289999999999679e+01 2.384999999999999787e+00
9.290146028348711393e-01 1.059065905802381913e+00 1.171806948648061120e+00 2.106809999999999761e+01 2.294999999999999929e+00
1.171806948648061120e+00 1.284547991493740549e+00 1.393880810983068930e+00 1.689210000000000278e+01 1.808400000000000230e+00
1.393880810983068930e+00 1.503213630472397533e+00 1.614205747226414855e+00 1.697439999999999927e+01 1.812799999999999745e+00
1.614205747226414855e+00 1.725197863980432178e+00 1.845562676547316538e+00 1.624090000000000344e+01 1.773200000000000109e+00
1.845562676547316538e+00 1.965927489114200677e+00 2.111674792192995476e+00 1.640249999999999986e+01 1.782000000000000028e+00
2.111674792192995476e+00 2.257422095271790052e+00 2.392765333208622280e+00 1.953640000000000043e+01 2.121599999999999930e+00
2.392765333208622280e+00 2.528108571145454508e+00 2.693677642838544273e+00 1.568159999999999954e+01 1.663200000000000012e+00
2.693677642838544273e+00 2.859246714531634481e+00 3.031363306146610093e+00 1.697439999999999927e+01 1.812799999999999745e+00
3.031363306146610093e+00 3.203479897761586148e+00 3.416944090710110515e+00 1.505439999999999934e+01 1.629599999999999937e+00
3.416944090710110515e+00 3.630408283658635327e+00 3.904279541867663905e+00 1.211040000000000028e+01 1.322400000000000020e+00
3.904279541867663905e+00 4.178150800076692484e+00 4.496464378160757391e+00 1.211040000000000028e+01 1.322400000000000020e+00
4.496464378160757391e+00 4.814777956244823187e+00 5.706265539653244900e+00 1.102239999999999931e+01 1.195200000000000040e+00
5.706265539653244900e+00 6.597753123061665725e+00 7.489240706470086550e+00 9.922499999999999432e+00 1.196999999999999842e+00
